Company Name	Website	Do	What	Market (For)	What is local?	Maker connection	Size	Address	City	State	Zip	Lat	Long	Notes	Wikipedia Page	Twitter	Facebook	YouTube	Instagram	Flikr	LinkedIn	TikTok	Pintrest	Phone
Arsenal Comics and games	https://arsenalcomicsandgames.com	Retail	Games, Comics	Geeks	HQ	Games	Medium	1610-1 Newbury Rd	Newbury Park	CA		34.183671	-118.91183	Retail store selling Comics	-	https://twitter.com/arsenal_comics	https://www.facebook.com/arsenalcomicsandgames	https://www.youtube.com/channel/UC5sYeZrwSBHrrZ28_MQ1Gxw	https://www.instagram.com/arsenalcomicsandgames/	-	https://www.linkedin.com/company/arsenal-comics-&-games?trk=public_profile_topcard-current-company	-		805-620-0543
(?) Art Studio Live	http://artstudiolive.com	Teaching	Art	Consumers	HQ	Arts & Crafts	Small								-	-	https://www.facebook.com/artstudiolivegallery/		https://www.instagram.com/artstudiolive/	-	https://www.linkedin.com/company/art-studio-live	-		-
Art Trek	https://www.arttrek.org/	Create + Teaching	Crafts	Artists	?	Kids Crafts	Medium	703 Rancho Conejo Blvd	Newbury Park	CA	91320	34.1887604	-118.9243108	Teaching craft skills	-	https://twitter.com/arttrekinc	https://www.facebook.com/arttrekinc	http://www.youtube.com/arttrekinc	https://www.instagram.com/arttrekinc	https://www.flickr.com/photos/arttrekinc/	https://www.linkedin.com/company/art-trek-inc-	-		(805) 499-1700
Atara Biotheraputics	https://www.atarabio.com/	Research	Medical	Medical	HQ	STEM	Large	2380 Conejo Spectrum St	Thousand Oaks	CA	91320	34.2037786	-118.9293348	STEM biotech?	-	https://twitter.com/Atarabio	-	-	-	-	https://www.linkedin.com/company/atarabio			
ATM Part Mart	https://atmpartmart.com/	Online Retail + Manufacture	Parts	Vending	HQ	Electronics sales, CNC	Small	733 Lakefield Rd Suite AA	Westlake Village	CA		34.1576179	-118.8307406	Has CNC, might be willing to let others use it	-	https://www.twitter.com/ATMPartMart	https://www.facebook.com/ATMPartMart		-	-	https://www.linkedin.com/company/atmpartmart.com			(866) 417-2286  (805) 381-0806
Axion Communications	https://www.axioncommunications.com/	Consulting	IT	B2B	HQ	Phones	Small	2060-D E Avenida De Los Arboles, #350	Thousand Oaks	CA	91362	34.21119183	-118.8418267	Consulting, VOIP	-	https://twitter.com/axionco	https://www.facebook.com/Axiontelecom/	https://www.youtube.com/user/TheHIVEBiz	-	https://www.flickr.com/photos/48045487@N08/	https://www.linkedin.com/company/axion-communications			(805) 642-1414
Batteries + (?)	https://www.batteriesplus.com/	Retail	Batteries	Consumers	Branch	Some Electronic Parts	Large			CA				Retail selling small consumer electronics parts	https://en.wikipedia.org/wiki/Batteries_Plus_Bulbsbs	http://twitter.com/batteriesplus	http://www.facebook.com/BatteriesPlus	http://www.youtube.com/batteriesplus	https://www.instagram.com/batteriesplus/	-	https://www.linkedin.com/company/batteries-plus	-		800-677-8278
Benchmark (Arrow?)	https://www.bench.com/moorpark-california	Online Retail, Consulting	Electronics	Engineers	Branch	Electronics	Large	200 Science Drive	Moorpark	CA	93021	34.279682	-118.869234	Formerly Arrow??	-	https://twitter.com/BenchElec	https://www.facebook.com/BenchBHE/	-	-	-	https://www.linkedin.com/company/benchelec/	-		(623) 300-7000
Big Shot Digital	http://bigshotsdigital.com/	Create	Photo Stuff	Consumers, B2B	HQ	Printing	Medium	3201 Corte Malpaso, Unit 302	Camarillo	CA	93012	34.227754	-119.000133	Printing	-	-	https://m.facebook.com/profile.php?id=166806529998924	-	-	-	-	-		805-484-9111
Bioscience Allience	https://www.biosciencealliance.org/	Research	Medical	Medical	HQ	Bioscience (STEM)		3075 Townsgate Road, Suite 330	Westlake Village	CA	91361	34.1524224	-118.8213747	AKA https://westlakebio.com/ ?										
Blackline	https://www.blackline.com/	Create	Software	Accountants	HQ	STEM	Large	21300 Victory Blvd 12th Floor	Woodland Hills	CA	91367	34.1878284	-118.5982557	Local HQ, Accounting software	https://en.wikipedia.org/wiki/Blackline_(software_company)	https://twitter.com/blackLine	https://www.facebook.com/blackline	https://www.youtube.com/channel/UCZ_JmAcNaCl57KX90KcbVgA	https://www.instagram.com/blackline/		https://www.linkedin.com/company/blackline	-		-
Cambium Networks	https://www.cambiumnetworks.com/about-cambium/	Install	Networking	B2B	Branch	Electronics	large	2545 West Hillcrest, Suite 220	Thousand Oaks	CA	91320	34.1887453	-118.9348559	Networking, bought Xirrus XM	https://en.wikipedia.org/wiki/Cambium_Networks	https://twitter.com/CambiumNetworks	https://www.facebook.com/CambiumNetworks/	https://www.youtube.com/user/CambiumNetworksLtd	https://www.instagram.com/cambiumnetworks/	-	https://www.linkedin.com/company/cambium-networks	https://www.tiktok.com/@cambiumnetworks		1-888-863-5250
Chaparral Software	http://www.chapsoft.com/index.html	Create + Consulting	Custom Software		HQ	Programming	Small	5737 Kanan Road, Suite 589	Agoura Hills	CA	91301	34.15442645	-118.7566644	Consulting, Filemaker	-	-	-	-	-	-	-	-		(877) 203-3109
Cheesecake Factory	https://thecheesecakefactory.com/	Restaurant	Food	Consumers	HQ	Local	Large	26901 Malibu Hills Rd	Calabasas Hills	CA	91301	34.13706515	-118.7075769	Local HQ, Resturant chain	https://en.wikipedia.org/wiki/The_Cheesecake_Factory	https://www.twitter.com/cheesecake	https://www.facebook.com/thecheesecakefactory	https://www.youtube.com/thecheesecakefactory	http://www.instagram.com/cheesecakefactory		https://www.linkedin.com/company/the-cheesecake-factory	https://www.tiktok.com/@thecheesecakefactory		-
Coastline Optics	http://www.coastlineoptics.com/	Create	Optics	B2B	HQ	Optics (STEM)	Small	906 Via Alondra	Camarillo	CA	93012	34.22646517	-119.0224182	Optics. Polish Metals, Measure lenses	-	-	-	-	-	-	https://www.linkedin.com/company/coastline-optics-llc	-		805-384-0609
Code Ninjas	https://www.codeninjas.com/simivalley	Teaching	Classes	Kids	HQ	Programming	Small	1772 Avenida de los Arboles	Thousand Oaks	CA		34.21001	-118.845618	STEM programming for kids	https://en.wikipedia.org/wiki/Code_Ninjas	https://twitter.com/codeninjas	https://www.facebook.com/CodeNinjas/		https://www.instagram.com/codeninjas/	-	https://www.linkedin.com/company/codeninjas	-		805-492-2633
Crash Space	https://blog.crashspace.org/	Clubhouse	Makerspace	Makers	HQ	Makerspace	Medium	10526 Venice Blvd	Culver City	CA		34.0193445	-118.405315	Nearby makerspace (started by one of our members in 2009)	-	https://twitter.com/crashspacela	https://www.facebook.com/groups/149637545078593/about/	https://www.youtube.com/channel/UCLc4X_ZDE26ZmY9ZcBCVX-w	https://www.instagram.com/crashspacela/?hl=hr	https://www.flickr.com/groups/crashspace/	https://pr.linkedin.com/company/crash-space ??	-		424-241-3379
Daetec	https://www.daetec.com/	Create	Chemicals	B2B	HQ	Chemicals	Medium	4069 Calle Tesoro	Camarillo	CA	93012	34.23081021	-119.0134593		-	http://www.twitter.com/wix	http://www.facebook.com/wix	-	-	-	https://www.linkedin.com/company/daetec-llc	-		(805) 484-5546
Diodes, Inc	https://www.diodes.com/	Create	Electronics	Engineers	HQ	Local? tech	Large	1260 Calle Suerte	Camarillo	CA	93012	34.2299221	-119.0155382	Local HQ	https://en.wikipedia.org/wiki/Diodes_Incorporated	https://twitter.com/diodesinc	https://www.facebook.com/DiodesInc	https://www.youtube.com/channel/UC56hxWwP0_TIbsWnHIn1nTw	-	-	https://www.linkedin.com/company/diodes-incorporated	-		-
Dole	https://www.dole.com/	Create	Fruit	Consumers	HQ	Local	Large	3059 Townsgate Rd Suite 400	Westlake Village	CA	91361	34.1528509	-118.8222672	The fruit company HQ		https://twitter.com/DoleTweets?s=17	https://www.facebook.com/Dole		https://www.instagram.com/dolepics/?hl=en				https://www.pinterest.com/DolePins/	
EaZyHold	https://eazyhold.com/	Online Retail	Thingy	Kids	HQ	Startup	Small	<online>	Conejo Valley	CA				Startup selling a rubber gripper	-	https://twitter.com/eazyhold	https://www.facebook.com/eazyhold/	https://www.youtube.com/channel/UCfvHPLdTh5WvBWW_dXHLs0Q	https://www.instagram.com/eazyhold/		-	-		-
Electronics Expediters	http://www.expediters.com/	Retail	Electronic Parts	Engineers	HQ	Electonics parts sales	Medium	3700 Via Pescador	Camarillo	CA	93012-5049	34.22375696	-119.021136	Retail store selling electronics parts, wires, etc. Like Radio Shack in the 80s	-	https://twitter.com/expediteelectro		-	https://www.instagram.com/electronicexpediters/?hl=en	-	https://www.linkedin.com/company/electronic-expediters-inc-	-		(805) 987-7171
Freedom Photonics	https://freedomphotonics.com/	Create	Electronics	Engineers	remote	STEM	Big	41 Aero Camino	Santa Barbra	CA	93117	34.4361677	-119.8515762	Nearby:  interesting products	-	-	-	-	-	-	https://www.linkedin.com/company/freedom-photonics	-		805-967-4900
Guitar Center	https://www.guitarcenter.com/	Retail	Instruments	Muscians	HQ	Local	Large	30730 Russell Ranch Rd	Westlake Village	CA	91362	34.1483321	-118.7958149	Local HQ, Chain of retail stores	https://en.wikipedia.org/wiki/Guitar_Center	https://twitter.com/guitarcenter	https://www.facebook.com/GuitarCenter	https://www.youtube.com/guitarcenter	https://instagram.com/guitarcenter#	https://www.flickr.com/people/guitarcenter/	https://www.linkedin.com/company/the-guitar-center-company	https://www.tiktok.com/@guitarcenter		-
Haas	https://www.haascnc.com/	Retail	CNC Machines	Builders	HQ	CNC	Large		Torrance	CA				HQ designing CNC machienes										
Haas	https://www.haascnc.com/	Create	CNC Machines	Builders	Branch	CNC	Large	2800 Sturgis Rd	Oxnard	CA	93030	34.20069625	-119.13659	Factory making CNC machines	https://en.wikipedia.org/wiki/Haas_Automation	http://twitter.com/Haas_Automation	http://www.facebook.com/pages/Oxnard-CA/Haas-Automation-Inc/177787316584	http://www.youtube.com/user/haasautomation	http://instagram.com/haas_automation	http://www.flickr.com/photos/haasautomation	https://www.linkedin.com/company/haas-automation	https://www.tiktok.com/@haas_automation		
Hagoenergetics	https://hagoenergetics.com/	Create	Carbon Conversion	B2B	HQ	Research?	Medium	412 Calle San Pablo Suite 103	Camarillo	CA	93012	34.2057745	-119.0390043	Local company that won almost a billion dollars from NASA, carbon conversion	-	https://twitter.com/hagoco2?lang=hr		https://www.youtube.com/channel/UClsO5tjX_MDjgvg5nXFFhqw/featured	https://www.instagram.com/hagoenergetics/	-	https://www.linkedin.com/in/wilson-hago-a168366	-		(805) 400-4196
Harbor Freight Tools (HQ)	https://www.harborfreight.com/	Retail	Tools	DIY	HQ	Tools	Large	26677 Agoura Rd	Calabasas	CA	91302	34.1418905	-118.708038	Interesting and Cheap tools	https://en.wikipedia.org/wiki/Harbor_Freight_Tools	https://twitter.com/harborfreight	https://www.facebook.com/harborfreight/	https://www.youtube.com/harborfreight	https://www.instagram.com/harborfreight/?hl=hr		https://www.linkedin.com/company/harbor-freight-tools			-
Hex Lab Makerspace	https://www.hexlabmakerspace.com/	Clubhouse	Makerspace	Makers	HQ	Makerspace	Medium	16556 Arminta Street	Van Nuys	CA	91406	34.214715	-118.494281	Tools ?	-	https://twitter.com/hexlabmake	-	https://www.youtube.com/c/hexlabmakerspacelosangeles?app=desktop	https://www.instagram.com/hexlabla/	-	??	-		(818) 530-7900
High Tech Corp	https://htemfg.com/	Manufacture	CNC Parts	B2B	HQ	Machining	Small	4610 Calle Quetzal	Camarillo	CA	93012	34.1968436	-119.0108615		-	-	-	-	-	-	-	-		805-987-5449
HRL	https://www.hrl.com/	Manufacture	Foundry	B2B	Branch	STEM	Large	3011 Malibu Canyon Rd #4797	Malibu	CA	90265	34.043054	-118.6978292	Research Arm of Boeing. Clean room Chip Foundry making ampifiers, also machiene shop. Also Quantnum. microfabrication, device design, test & analysis, high-performance computing	https://en.wikipedia.org/wiki/HRL_Laboratories	https://twitter.com/hrllaboratories	https://www.facebook.com/hrllabs	https://www.youtube.com/user/HRLLaboratories	https://www.instagram.com/hrllaboratories/?hl=hr		https://www.linkedin.com/company/hrl-laboratories	-		(310) 317-5000
Huan	https://www.gethuan.com/	Create	Accessories	Pet	HQ	Startup	Small	<online>	Agoura Hills	CA				Air tag holder for dog collars (was app for BLE beacons)	-	https://twitter.com/gethuan/	-	https://www.youtube.com/channel/UCc6GvJ1PVik4hAatSw8w88Q	https://www.instagram.com/gethuan/		https://www.linkedin.com/company/huan			-
Interconnect Systems International (Molex)	https://www.isipkg.com/	Design	Parts	Aerospace	HQ	Electronic parts design	Medium	741 Flynn Rd #8056	Camarillo	CA	93012	34.2232937	-119.0258715	Makes digitizer boards	https://en.wikipedia.org/wiki/Molex	https://twitter.com/isipkg	-	https://www.youtube.com/channel/UCj7-oRypXfbZGtjPvUdsG5A	-	-	https://www.linkedin.com/company/interconnect-systems-inc.	-		(805) 482-2870
Invia Robotics	https://www.inviarobotics.com/	Create	Robots	B2B	HQ	Robots	Medium	5701 Lindero Canyon Rd #3-100	Westlake Village	CA	91362	34.145552	-118.80764	Designs and builds Warehouse robotics	-	https://twitter.com/inviarobotics		https://www.youtube.com/c/inViaRobotics/featured	-	-	https://www.linkedin.com/company/invia-robotics			855-424-6842
Joanne Fabrics	https://stores.joann.com/ca/thousand-oaks/1223/	Retail	Craft Supplies	DIY	Branch	Crafts	Large	1516 N Moorpark Rd	Thousand Oaks	CA	91360	34.1986884	-118.869376	Fabrics and other crafts	https://en.wikipedia.org/wiki/Jo-Ann_Stores	https://twitter.com/JoAnn_Stores	https://www.facebook.com/JoAnn	https://www.youtube.com/user/Joanndotcom	https://www.instagram.com/joann_stores/		https://www.linkedin.com/company/jo-ann-stores-inc-	-	https://www.pinterest.com/joannstores/	805-496-2116
Laritech, Inc	https://www.laritech.com/	Manufacture + Consulting	Custom PCBs	Makers	HQ	Electronics PCB	Medium	5898 Condor Dr	Moorpark	CA	93021	34.2884672	-118.8572762	Creates PCB boards, (I heard they designed the original Bird scooter)	-	-	https://www.facebook.com/Laritech.Inc		-	-	https://www.linkedin.com/company/laritech-inc	-		805-529-5000  
Lukys Hardware	http://www.lukyshardware.com/	Retail	Parts	Makers	remote	Maker Parts	Medium	3814 W Burbank Blvd	Burbank	CA	91505	34.173921	-118.3540337	Surplus	-	-	https://m.facebook.com/profile.php?id=140415952661134	-	-	-	-	-		(818) 845-8338
Lundberg Survey	https://www.lundbergsurvey.com/	Create	Research	B2B	HQ	Research	Medium	911 Via Alondra	Camarillo	CA	93012	34.2271083	-119.0250382	Publish the Lundberg Gas price survey	-	-	https://m.facebook.com/profile.php?id=2103861336499839			-	https://www.linkedin.com/company/lundberg-survey-inc	-		805-383-2400
Maker Gear	https://makergear.com/	Create	3D Printers	Everyone	remote	3D printers	Medium								-	https://twitter.com/makergear?lang=en	https://www.facebook.com/Makergear/	https://www.youtube.com/c/MakerGear	https://www.instagram.com/makergear/?hl=hr		https://www.linkedin.com/company/makergear-llc	https://www.tiktok.com/@makergear		216- 765-0030
Matter Labs	https://www.matterlabs.co/	Consulting	Ideas	B2B	HQ	Creative Consultants	Small	4001 Mission Oaks Blvd	Santa Rosa Valley	CA	93012	34.2168606	-119.0192037	Involved in lots of cool projects, community innovation leaders	-	https://twitter.com/matterlabsinc	https://www.facebook.com/MatterLabs/		-	-	https://www.linkedin.com/company/matter-labs	-		-
Micheals Craft Store	https://www.michaels.com/	Retail	Craft Supplies	Crafts, Makers	Branch	Local crafts	Large	5780 Lindero Canyon Rd	Westlake Village	CA	91362-4063	34.1545021	-118.795997	Retail crafts store	https://en.wikipedia.org/wiki/Michaels	https://twitter.com/michaelsstores	https://www.facebook.com/Michaels	https://www.youtube.com/subscription_center?add_user=MichaelsStores	https://instagram.com/michaelsstores#	-	https://www.linkedin.com/company/michaels-stores-inc.	https://www.tiktok.com/@michaelscraftstore?lang=en		-
Microduino	https://www.microduinoinc.com/	Manufacturer + Online Retailer	STEM Toys	Makers	HQ	STEM electronics for kids	Medium	143 Triunfo Canyon Rd	Thousand Oaks	CA	91361	34.1602842	-118.8354181	STEM toys for kids	-	http://twitter.com/microduino	http://facebook.com/microduino	https://www.youtube.com/c/MicroduinoStudio	http://instagram.com/microduino	-	http://linkedin.com/in/bin-feng-8118454	-		818-900-0804
Minimus Products	https://minimus.biz	Online Retail + Manufacture	Everything	Consumers	HQ	Startup, shipping, logistics	Medium	1260 Rancho Conejo Blvd	Newbury Park	CA	91320	34.1969214	-118.9228083	Ships 250k products from TO warehouse. Creates many influencer products.	-	https://twitter.com/minimusbiz	https://www.facebook.com/Minimus.biz	https://www.youtube.com/channel/UCel9EYLAfxDmY-2EIsngQSw	https://www.instagram.com/minimusbiz/	-	https://www.linkedin.com/company/minimus.biz	-		805-480-1415
Mitov Software	http://www.mitov.com/	Design	Software	Makers	HQ	Electronics SW Platform	Small	11326 Rosecreek Dr.	Moorpark	CA	93021	34.26726408	-118.9066621	No-code / Low-code Arduino platform	Site won't open.									
Nordic Semi	https://www.nordicsemi.com/	Create	Semiconductors	Engineers, Makers	remote	Electronic parts	Big							Big chip maker	https://en.wikipedia.org/wiki/Nordic_Semiconductor	https://twitter.com/NordicTweets	https://www.facebook.com/nordicsemiconductor/	https://www.youtube.com/user/NordicSemi	https://www.instagram.com/nordicsemi/	-	https://www.linkedin.com/company/nordic-semiconductor	https://www.tiktok.com/@nordic_semiconductor?traffic_type=others&referer_url=amp_nordicsemi&referer_video_id=7125744508834204934		-
Null Space Labs	https://www.nsl.ninja/	Clubhouse	Makerspace	Makers	HQ	Makerspace	Medium	2522 N Ontario St	Ontario	CA	91504	34.065846	-117.6484304	Makerspace	-	https://twitter.com/nullspacelabs	https://www.facebook.com/nullspacelabs/		??	https://www.flickr.com/photos/nullspacelabs/	??	-		234-312-4521
(?) On Assignment	http://onassignment.com/	Hire	Staff	Science	HQ	STEM	Large	26651 W. Algonquin Road	Calabasas	CA	91302	34.1446643	-118.644097	Temporary jobs for scientific and tech workers	Could not event find the company??									
Opto Diode	https://optodiode.com/	Create	Electronics	Engineers	HQ	Local tech	Large	1260 Calle Suerte	Camarillo	CA	93012			Delivering industry-leading sensors, photodiodes, detectors, and LEDs. Available in standard and custom designs, 										
Osh Park	https://oshpark.com/	Manufactuer	Custom PCB	Makers	remote	Make PCB Boards	Medium							Cheap PCB makers	-	https://twitter.com/oshpark	https://www.facebook.com/oshpark/	-	https://www.instagram.com/oshpark/	https://www.flickr.com/photos/144141882@N07/	-	-		503-616-248
Planet Zuda	http://planetzuda.com/	Consulting	Cybersecurity	B2B	HQ	Cybersecurity	Small		Camarillo	CA				Cybersecurity consulting	-	https://twitter.com/planetzuda	https://www.facebook.com/planetzuda	-	-	-	-	-		-
Pulse Insturments	http://www.pulseinstruments.net/	Create	Water Treatment	B2B	HQ	Electronics product design	Medium	3233 Mission Oaks Blvd, Unit P	Camarillo	CA	93012	34.218941	-119.026703	Electronics Parts, Sensors for water treatment, etc	-	-	-	-	-	-	-	-		1(800) 462-1926
Quill Technologies	https://quill.codes/	Create + Consulting	Custom Software		HQ	Programming	Small		Ventura	CA				Programming?	-	https://twitter.com/QuillCodes		-	-	-	https://www.linkedin.com/in/caseymcquillan/			
RMIS	https://rmis.com/	Create	Software	B2B Trucking	HQ	Startup	Medium	5388 Sterling Center Drive	Westlake Village	CA	91361	34.14660923	-118.8038308		Site won't open.									
Rollocam	https://rollocam.com/	Create	Camera Accessories	Photography	Founder	Electronics design	Small		Thousand Oaks	CA				Had a Kickstarter	-	https://twitter.com/Rollocam_	https://www.facebook.com/Rollocam/	https://www.youtube.com/channel/UCpA75FwCXSINUBWGKQXvpjA	https://www.instagram.com/rollocam/	-	-	-		-
Sabrewing Aircraift Company	https://www.sabrewingaircraft.com/	Create	Aircraft	Consumers	remote	Airplanes	medium	1000 Town Center Drive, Ste 300	Oxnard	CA	93036	34.2430217	-119.181846	Nearby: Aircraft. Started in Camarillio Airport, moved	-	https://twitter.com/sabrewingair	https://www.facebook.com/SabrewingAircraftCompany/	https://www.youtube.com/c/SabrewingAircraft/featured	-	-	https://www.linkedin.com/company/sabrewing-aircraft-company/			805-996-0601
SCORE	https://ventura.score.org/	Consulting	Business	Startups	Branch	Startups	large	1017 Thistlegate Rd	Oak Park	CA	91377	34.1833214	-118.7629217	Free resource to get local voulenteer experts in business to help your business.										
Security Door Controls (SDC)	https://sdcsecurity.com/	Create + Manufacture	Door Locks	B2B	HQ	Local Tech	small	801 Avenida Acaso	Camarillo	CA	93012	34.2246129	-119.0222312											
SkyWorks	https://www.skyworksinc.com/	Create + Manufacture	Electronics	B2B	Branch	STEM	Large	2427 W Hillcrest Dr	Newbury Park	CA	91320	34.1869549	-118.9300318	HQ in Irving, CA. $1B/quarter	https://en.wikipedia.org/wiki/Skyworks_Solutions	https://twitter.com/skyworksinc	https://www.facebook.com/skyworksinc/	https://www.youtube.com/channel/UCVT7P0K4jQyDE15ANfd_-RA	-		https://www.linkedin.com/company/skyworks-solutions-inc/			-
SparkFun	https://sparkfun.com/	Online Retail	Electronics	Consumers	remote	Electronics, sensors	Big	6333 Dry Creek Pkwy Suite 2 Dock B	Niwot	CO	80503	40.09062	-105.1874174	Electronics, sensors for makers	https://en.wikipedia.org/wiki/SparkFun_Electronics	https://twitter.com/sparkfun	https://www.facebook.com/SparkFun	https://www.youtube.com/sparkfun	https://www.instagram.com/sparkfun/	https://www.flickr.com/photos/sparkfun/	https://www.linkedin.com/company/sparkfun-electronics	https://www.tiktok.com/@sparkfun.electronics?lang=en		-
Spirent	https://www.spirent.com/	Create + Consulting	Communications HW	B2B	Branch	Network testing	Large	27349 Agoura Rd	Calabasas	CA	91301	34.13811497	-118.7200176		https://en.wikipedia.org/wiki/Spirent	https://twitter.com/Spirent	https://www.facebook.com/spirent	https://www.youtube.com/channel/UCyi1h4XXdj1AeUjeCDksYvg	https://www.instagram.com/spirent_/?hl=hr	-	http://www.linkedin.com/company/spirent-communications	-		800-774-7368
Takeda Pharmaceuticals	https://www.takeda.com/	Create	Drugs	Consumers	Branch	Local	Large	1700 Rancho Conejo Blvd	Thousand Oaks	CA	91320	34.1854417	-118.9255714	Local HQ, Pharma	https://en.wikipedia.org/wiki/Takeda_Pharmaceutical_Company	http://www.twitter.com/takedapharma	-	https://www.youtube.com/takeda-pharmaceuticals/	-	-	https://www.linkedin.com/company/takeda-pharmaceuticals/	-		-
Taurus Products Inc	http://www.taurusproducts.com/	Consulting	Custom PCBs	Makers	HQ	Electronics	Large	67 W. Easy Street # 118	Simi Valley	CA	93063	34.27960882	-118.8018497	Supplies Offshore PCBs	-	-	-	-	-	-	-	-		805 584-1555
